Year,Modularity,Num_Communities,Community_Party_Count
2004,0.25784422662595324,7,"{'Community_1': {'PSDB': 3, 'PFL': 3, 'PL': 12, 'PT': 41, 'PTB': 22, 'PMDB': 12, 'PCdoB': 3, 'PP': 8, 'PSB': 6, 'PPS': 4, 'PSC': 1, 'PDT': 1}, 'Community_2': {'PT': 34, 'PCdoB': 4, 'PTB': 4, 'PSDB': 2, 'PMDB': 19, 'PV': 3, 'PFL': 3, 'PP': 13, 'PL': 13, 'PSB': 3, 'PPS': 3, 'PDT': 2, 'PSL': 1}, 'Community_3': {'PP': 14, 'PSDB': 1, 'PFL': 2, 'PDT': 5, 'PPS': 6, 'PMDB': 17, 'PCdoB': 3, 'PTB': 6, 'Unknown': 1, 'S.PART.': 3, 'PSC': 4, 'PL': 3, 'PT': 4, 'PV': 1, 'PSB': 1}, 'Community_4': {'PMDB': 9, 'PSB': 2, 'PFL': 16, 'PL': 4, 'PSDB': 9, 'PTB': 2, 'PP': 8, 'PT': 4, 'PDT': 1, 'PPS': 2}, 'Community_5': {'PSDB': 11, 'PP': 1, 'PFL': 12, 'PL': 5, 'PTB': 5, 'PMDB': 2, 'PT': 1, 'PRONA': 1}, 'Community_6': {'PT': 5, 'PSDB': 5, 'PL': 4, 'PSB': 2, 'PDT': 2, 'PMDB': 5, 'PTB': 4, 'PFL': 1, 'PP': 4, 'S.PART.': 1, 'PV': 1, 'PPS': 1, 'PSC': 1}, 'Community_7': {'PSDB': 2, 'PTB': 6, 'PFL': 3, 'PSB': 3, 'PPS': 2, 'PP': 3, 'PT': 2, 'PMDB': 7, 'PSC': 1, 'PDT': 1, 'PL': 1}}"
2005,0.25467032474733203,6,"{'Community_1': {'PMDB': 21, 'PTB': 15, 'PT': 38, 'S.PART.': 3, 'PSB': 10, 'PSDB': 3, 'PL': 20, 'PP': 18, 'PDT': 5, 'PCdoB': 2, 'PPS': 3, 'PFL': 3, 'PSL': 1, 'PSC': 1}, 'Community_2': {'PSB': 4, 'PP': 6, 'PMDB': 12, 'PTB': 9, 'PL': 5, 'PFL': 14, 'PDT': 5, 'PRONA': 1, 'PSDB': 22, 'PSC': 2, 'PV': 2, 'PPS': 7, 'PT': 1, 'PSOL': 1}, 'Community_3': {'PP': 7, 'PMDB': 6, 'PTB': 5, 'PFL': 6, 'PSDB': 4, 'PSB': 2, 'PT': 21, 'PL': 3, 'PSC': 3, 'PCdoB': 4, 'PDT': 1, 'S.PART.': 1, 'PPS': 1}, 'Community_4': {'PSDB': 5, 'PT': 21, 'PFL': 4, 'PP': 5, 'PTB': 5, 'PMDB': 15, 'PL': 3, 'PCdoB': 2, 'S.PART.': 1, 'PPS': 1, 'PMR': 1}, 'Community_5': {'PSDB': 1, 'PCdoB': 2, 'PP': 8, 'PMDB': 9, 'PV': 1, 'S.PART.': 1, 'PDT': 2, 'PL': 3, 'PTB': 6, 'PRONA': 1, 'PSB': 5, 'PT': 4, 'PFL': 1}, 'Community_6': {'PFL': 7, 'PT': 6, 'PDT': 3, 'PP': 5, 'PL': 2, 'PMDB': 4, 'PTB': 1, 'PPS': 1, 'PSDB': 1}}"
2006,0.29157814053381287,6,"{'Community_1': {'PFL': 18, 'PTB': 18, 'PDT': 10, 'PSDB': 9, 'PMDB': 32, 'PPS': 4, 'PL': 11, 'PP': 16, 'PSB': 12, 'PMR': 1, 'PT': 1, 'PSC': 1, 'PRB': 1}, 'Community_2': {'PSOL': 6, 'PMDB': 18, 'PSDB': 11, 'PT': 15, 'PV': 2, 'PFL': 7, 'PDT': 3, 'PL': 12, 'PTB': 9, 'PSB': 9, 'PP': 8, 'PSC': 2, 'PCdoB': 2, 'PPS': 3}, 'Community_3': {'PSC': 2, 'PFL': 17, 'PMDB': 16, 'PTB': 5, 'PP': 9, 'PSDB': 23, 'PDT': 6, 'PV': 4, 'PPS': 7, 'PSB': 2, 'PSOL': 1, 'PL': 2, 'PT': 1}, 'Community_4': {'PSDB': 1, 'PFL': 3, 'PT': 56, 'PP': 5, 'PL': 6, 'PCdoB': 7, 'PTB': 5, 'PMDB': 4, 'PSC': 2, 'PSB': 2}, 'Community_5': {'PMDB': 5, 'PPS': 1, 'PT': 5, 'PL': 3, 'PP': 1, 'PSDB': 2, 'PCdoB': 1}, 'Community_6': {'PSDB': 3, 'PMDB': 1, 'PP': 1}}"
2007,0.27955073574004907,7,"{'Community_1': {'PT': 60, 'PFL': 2, 'PR': 13, 'DEM': 2, 'PMDB': 37, 'PV': 9, 'PSB': 16, 'PTB': 9, 'PDT': 16, 'PP': 12, 'PSC': 6, 'PCdoB': 9, 'PTdoB': 1, 'PAN': 2, 'PMN': 3, 'PTC': 1, 'PPS': 1, 'PRB': 1}, 'Community_2': {'PP': 11, 'PDT': 3, 'PFL': 4, 'PSDB': 38, 'PR': 7, 'PSB': 4, 'PMDB': 21, 'DEM': 6, 'PPS': 8, 'PTB': 4, 'PMN': 1, 'PV': 1, 'PTC': 1, 'PHS': 1}, 'Community_3': {'PMDB': 20, 'DEM': 4, 'PV': 3, 'PR': 4, 'PFL': 3, 'PT': 19, 'PP': 11, 'PTB': 3, 'PSB': 5, 'PDT': 4, 'PMN': 1, 'PAN': 1, 'PCdoB': 2, 'PPS': 2}, 'Community_4': {'PRB': 1, 'PSOL': 3, 'PT': 2, 'PSB': 3, 'PMDB': 6, 'PP': 4, 'PTB': 5, 'PFL': 1, 'PR': 4, 'DEM': 1}, 'Community_5': {'PMDB': 8, 'PP': 2, 'PSDB': 1, 'PHS': 1, 'PCdoB': 2, 'PTB': 1, 'DEM': 3, 'PV': 1, 'PDT': 1, 'PSC': 1, 'PSB': 2}, 'Community_6': {'PPS': 1, 'PFL': 1, 'PR': 6, 'PP': 1, 'PTB': 1, 'DEM': 1, 'PSDB': 1}, 'Community_7': {'PR': 1, 'PT': 1}}"
2008,0.2751538393430285,7,"{'Community_1': {'PMDB': 40, 'DEM': 6, 'PP': 19, 'PSDB': 3, 'PT': 37, 'PSB': 11, 'PTC': 1, 'PCdoB': 5, 'PTB': 7, 'PDT': 11, 'PSC': 3, 'PR': 10, 'PSOL': 2, 'PV': 8, 'PHS': 1, 'PMN': 1, 'PRB': 1, 'PTdoB': 1}, 'Community_2': {'DEM': 12, 'PT': 12, 'PSDB': 19, 'PP': 2, 'PV': 1, 'PCdoB': 2, 'PMDB': 5, 'PDT': 2, 'PTB': 1, 'PSB': 4, 'PMN': 2, 'PPS': 1}, 'Community_3': {'PSDB': 1, 'DEM': 3, 'PMDB': 15, 'PP': 6, 'PV': 4, 'PT': 13, 'PMN': 1, 'PR': 6, 'PCdoB': 3, 'PTB': 2, 'PDT': 4, 'PSC': 3, 'PPS': 1}, 'Community_4': {'PSDB': 13, 'DEM': 14, 'PMDB': 10, 'PP': 2, 'PT': 8, 'PTB': 3, 'PSB': 2, 'PMN': 1, 'PRB': 2, 'PCdoB': 2, 'PR': 2, 'PDT': 2}, 'Community_5': {'PSDB': 2, 'PMDB': 11, 'PPS': 1, 'PSC': 2, 'PP': 3, 'PHS': 1, 'PR': 7, 'DEM': 1, 'PT': 3, 'PDT': 4, 'PCdoB': 1, 'PSOL': 1, 'PSB': 1, 'PV': 1, 'PTB': 1}, 'Community_6': {'PMDB': 5, 'PPS': 2, 'PR': 7, 'PSC': 1, 'PSB': 5, 'PT': 4, 'PTB': 1, 'PP': 3, 'DEM': 1, 'PRTB': 1}, 'Community_7': {'PSB': 3, 'DEM': 6, 'PMDB': 8, 'PSDB': 1, 'PR': 3, 'PTB': 3, 'PT': 4, 'PDT': 1}}"
2009,0.2577530870016024,6,"{'Community_1': {'PSDB': 1, 'PT': 20, 'PV': 6, 'DEM': 3, 'PSC': 5, 'PTB': 9, 'PMDB': 28, 'PRB': 1, 'PCdoB': 3, 'PP': 12, 'PDT': 2, 'PR': 18, 'PHS': 1, 'PSB': 3, 'PPS': 1}, 'Community_2': {'PMDB': 2, 'PPS': 2, 'DEM': 2, 'PR': 5, 'PV': 2, 'PT': 40, 'PDT': 8, 'PSB': 8, 'PCdoB': 3, 'PTdoB': 1, 'PP': 2, 'PMN': 1, 'PSOL': 1, 'PSDB': 1}, 'Community_3': {'PSC': 2, 'DEM': 8, 'PTC': 1, 'PDT': 1, 'PT': 3, 'PSDB': 5, 'PTB': 7, 'PR': 6, 'PMN': 4, 'PMDB': 26, 'PSB': 2, 'PP': 2, 'PV': 2, 'PPS': 2, 'PCdoB': 1}, 'Community_4': {'PSC': 1, 'PHS': 1, 'PP': 1, 'PSDB': 24, 'PMDB': 10, 'PDT': 2, 'PTB': 2, 'DEM': 14, 'PT': 3, 'PPS': 5, 'PRB': 1, 'PV': 1, 'PR': 1, 'PSOL': 1, 'PSB': 1}, 'Community_5': {'PV': 1, 'DEM': 4, 'PMDB': 17, 'PSB': 6, 'PSC': 5, 'PDT': 6, 'PR': 3, 'PP': 7, 'PT': 5, 'PSDB': 3, 'PCdoB': 3, 'PTB': 3, 'PRB': 1}, 'Community_6': {'PPS': 2, 'PP': 11, 'PMDB': 11, 'PV': 2, 'PSB': 4, 'PT': 6, 'PRB': 1, 'PDT': 6, 'PTB': 2, 'PSDB': 2, 'PCdoB': 2, 'DEM': 2, 'PR': 3}}"
2010,0.21845373371199298,9,"{'Community_1': {'PT': 30, 'DEM': 3, 'PSDB': 1, 'PSB': 10, 'PCdoB': 7, 'PMDB': 30, 'PV': 2, 'PR': 18, 'PSC': 7, 'PP': 14, 'PTB': 7, 'PDT': 9, 'PHS': 2, 'PPS': 1, 'PRB': 3, 'PMN': 1}, 'Community_2': {'DEM': 33, 'PSDB': 28, 'PR': 8, 'PSB': 6, 'PSOL': 1, 'PSC': 3, 'PMDB': 17, 'PT': 7, 'PPS': 5, 'PP': 4, 'PV': 3, 'PTB': 2, 'PCdoB': 1}, 'Community_3': {'PMDB': 16, 'PT': 10, 'PTB': 4, 'PCdoB': 2, 'PSOL': 1, 'PP': 9, 'PDT': 7, 'DEM': 2, 'PR': 3, 'PV': 3, 'PSB': 4, 'PMN': 1, 'PSC': 2, 'PRB': 1, 'PPS': 2, 'PHS': 1, 'PTC': 1}, 'Community_4': {'PPS': 2, 'PMDB': 8, 'PSOL': 1, 'PR': 2, 'PT': 22, 'PCdoB': 1, 'PV': 4, 'PSB': 4, 'DEM': 2, 'PTB': 4, 'PTC': 1, 'PDT': 4, 'PSDB': 1, 'PRB': 1, 'PSC': 1, 'PMN': 1}, 'Community_5': {'PT': 5, 'PR': 4, 'PSDB': 8, 'PP': 3, 'PTdoB': 1, 'PTC': 1, 'PPS': 1, 'DEM': 2, 'PSB': 3, 'PRB': 1, 'PTB': 3, 'PDT': 2, 'PMDB': 6, 'PSC': 1, 'PV': 1}, 'Community_6': {'PMDB': 3, 'PPS': 1, 'PT': 2, 'PR': 3, 'PSDB': 1, 'PCdoB': 1, 'PP': 2, 'PTB': 1}, 'Community_7': {'PSC': 1, 'PSDB': 1, 'PR': 1, 'PMDB': 2, 'PT': 2}, 'Community_8': {'PSDB': 1, 'PTB': 1, 'PMDB': 1, 'PP': 1}, 'Community_9': {'PT': 1, 'PSDB': 2}}"
2011,0.22683682332990157,10,"{'Community_1': {'PSB': 17, 'DEM': 3, 'PSDB': 2, 'PSC': 5, 'PMDB': 32, 'PT': 67, 'PR': 9, 'PCdoB': 10, 'PP': 18, 'PDT': 12, 'PRB': 6, 'PTdoB': 2, 'PTB': 11, 'PSD': 3, 'PSL': 1, 'PV': 2, 'PTC': 1, 'PRTB': 1}, 'Community_2': {'DEM': 2, 'PP': 4, 'PDT': 9, 'PSB': 3, 'PSD': 3, 'PV': 3, 'PMDB': 26, 'PCdoB': 3, 'PTB': 5, 'PR': 12, 'PSC': 3, 'PRB': 3, 'PT': 1, 'PMN': 1}, 'Community_3': {'PV': 3, 'PP': 2, 'PSOL': 1, 'PMDB': 6, 'PR': 1, 'DEM': 14, 'PSD': 6, 'PDT': 1, 'PTB': 1, 'PPS': 5, 'PSDB': 2, 'PT': 4, 'PMN': 1, 'PSC': 1}, 'Community_4': {'PDT': 4, 'PSDB': 8, 'PT': 10, 'PMDB': 2, 'PP': 3, 'PR': 1, 'DEM': 2, 'PCdoB': 1, 'PV': 1}, 'Community_5': {'PTdoB': 1, 'PSDB': 2, 'PSC': 1, 'PMN': 1, 'PR': 6, 'PP': 3, 'PTB': 3, 'PSB': 1, 'PRB': 2, 'PHS': 1, 'PMDB': 6, 'PSD': 1}, 'Community_6': {'PT': 2, 'PSB': 4, 'PMDB': 4, 'PSDB': 1, 'PSC': 4, 'PTB': 2, 'PR': 5, 'PP': 2, 'PRP': 1}, 'Community_7': {'PSC': 3, 'PSDB': 1, 'PSB': 1, 'PP': 3, 'PMDB': 3, 'PT': 3, 'PSD': 1, 'PPS': 1, 'PR': 1, 'PTB': 1}, 'Community_8': {'PSD': 3, 'PR': 1, 'PP': 2, 'PMDB': 2, 'PSC': 1, 'PSDB': 1, 'PDT': 1}, 'Community_9': {'PR': 1, 'DEM': 1}, 'Community_10': {'PMDB': 1, 'PP': 1}}"
2012,0.23487256152239985,7,"{'Community_1': {'PDT': 3, 'PT': 49, 'PSDB': 3, 'PTB': 9, 'DEM': 1, 'PSD': 23, 'PMDB': 37, 'PRB': 7, 'PCdoB': 2, 'PP': 18, 'PHS': 1, 'PSC': 5, 'PSB': 8, 'PR': 3, 'PSL': 1}, 'Community_2': {'PSDB': 16, 'PSB': 3, 'DEM': 21, 'PT': 5, 'PPS': 4, 'PDT': 2, 'PRP': 1, 'PMDB': 9, 'PP': 2, 'PV': 2, 'PSOL': 1, 'PSD': 4, 'PSC': 1, 'PR': 7, 'PRB': 1}, 'Community_3': {'PMDB': 6, 'PSB': 5, 'PSDB': 13, 'PT': 7, 'PTB': 4, 'PPS': 3, 'PDT': 9, 'PSD': 8, 'PP': 1, 'PV': 2, 'PR': 6, 'DEM': 1, 'PSC': 2, 'PCdoB': 2, 'PSOL': 1, 'PTdoB': 1, 'PTC': 1}, 'Community_4': {'PR': 8, 'PSD': 5, 'DEM': 1, 'PP': 9, 'PMDB': 10, 'PDT': 5, 'PT': 16, 'PSDB': 2, 'PSB': 8, 'PRB': 1, 'PSC': 2, 'PCdoB': 2, 'PV': 1, 'PTB': 2}, 'Community_5': {'PSD': 4, 'PPS': 4, 'PSB': 3, 'PMN': 1, 'PT': 3, 'PCdoB': 4, 'PP': 3, 'PSC': 2, 'PMDB': 2, 'PR': 1, 'PV': 2, 'PTdoB': 1, 'PDT': 2}, 'Community_6': {'PMDB': 2, 'PSC': 3, 'DEM': 1, 'PSD': 4, 'PRB': 1, 'PDT': 5, 'PCdoB': 2, 'PSB': 3, 'PT': 5, 'PR': 2, 'PV': 2, 'PP': 1}, 'Community_7': {'PMDB': 3, 'PSB': 1, 'PT': 1, 'PSOL': 1, 'PSD': 1}}"
2013,0.1736634428785739,6,"{'Community_1': {'PROS': 3, 'PSD': 13, 'SDD': 4, 'PT': 32, 'PMDB': 9, 'PCdoB': 7, 'DEM': 13, 'PRB': 7, 'PPS': 2, 'PSDB': 7, 'PP': 10, 'PTB': 5, 'PR': 11, 'PDT': 5, 'PTdoB': 1, 'PRP': 1, 'PSB': 3, 'PSC': 2, 'PV': 1}, 'Community_2': {'PMDB': 43, 'PSD': 4, 'PSC': 6, 'PTB': 2, 'PSDB': 2, 'SDD': 1, 'PT': 32, 'PR': 4, 'PP': 11, 'PSB': 12, 'PCdoB': 3, 'PV': 2, 'PROS': 2, 'PHS': 1, 'PDT': 4, 'PMN': 2, 'DEM': 1}, 'Community_3': {'PMDB': 14, 'PSDB': 16, 'PDT': 5, 'PSC': 8, 'PSB': 5, 'PP': 6, 'PSD': 13, 'PT': 5, 'PPS': 4, 'DEM': 7, 'PSL': 1, 'PV': 1, 'PTB': 3, 'PCdoB': 1, 'PMN': 1, 'PSOL': 1, 'SDD': 1}, 'Community_4': {'SDD': 3, 'DEM': 3, 'PR': 9, 'PSOL': 2, 'PMDB': 8, 'PP': 8, 'PT': 12, 'PSDB': 8, 'PSD': 9, 'PRP': 1, 'PDT': 7, 'PROS': 2, 'PTB': 3, 'PRB': 1, 'PPS': 1, 'PCdoB': 2, 'PV': 1, 'PSB': 1, 'PTdoB': 1}, 'Community_5': {'DEM': 1, 'PR': 4, 'PDT': 1, 'PSB': 2, 'PT': 3, 'PEN': 1, 'PSDB': 1, 'PSC': 1, 'PMDB': 1, 'PP': 1, 'PV': 2, 'PSD': 1, 'PCdoB': 1}, 'Community_6': {'PSDB': 2, 'PT': 1}}"
